Id,Category
0,2
1,10
2,5
3,9
4,7
5,3
6,4
7,10
8,0
9,2
10,1
11,0
12,5
13,10
14,0
15,4
16,9
17,4
18,0
19,9
20,3
21,5
22,3
23,3
24,1
25,3
26,10
27,4
28,6
29,1
30,5
31,9
32,7
33,1
34,2
35,9
36,5
37,10
38,10
39,2
40,6
41,2
42,6
43,4
44,5
45,1
46,10
47,3
48,7
49,9
50,10
51,1
52,3
53,2
54,3
55,8
56,7
57,6
58,6
59,9
60,5
61,8
62,2
63,3
64,10
65,1
66,1
67,9
68,4
69,10
70,5
71,5
72,5
73,2
74,9
75,7
76,0
77,9
78,1
79,9
80,4
81,1
82,9
83,1
84,6
85,1
86,4
87,4
88,1
89,9
90,1
91,5
92,0
93,2
94,6
95,6
96,1
97,2
98,6
99,10
100,9
101,2
102,5
103,2
104,4
105,7
106,6
107,5
108,9
109,3
110,5
111,5
112,4
113,3
114,9
115,4
116,9
117,5
118,9
119,3
120,2
121,5
122,0
123,0
124,4
125,5
126,7
127,8
128,10
129,9
130,5
131,0
132,3
133,0
134,9
135,9
136,3
137,10
138,0
139,9
140,2
141,4
142,2
143,5
144,1
145,7
146,9
147,5
148,3
149,0
150,5
151,4
152,7
153,0
154,4
155,1
156,9
157,2
158,8
159,4
160,5
161,9
162,5
163,5
164,9
165,3
166,5
167,8
168,3
169,9
170,8
171,1
172,3
173,4
174,7
175,6
176,2
177,10
178,8
179,7
180,3
181,8
182,9
183,6
184,5
185,9
186,10
187,9
188,0
189,4
190,1
191,3
192,1
193,4
194,0
195,5
196,8
197,9
198,0
199,0
200,9
201,8
202,8
203,7
204,4
205,0
206,7
207,9
208,10
209,4
210,3
211,5
212,1
213,2
214,2
215,0
216,10
217,0
218,6
219,0
220,7
221,7
222,0
223,7
224,5
225,5
226,9
227,9
228,6
229,3
230,7
231,9
232,7
233,0
234,3
235,9
236,0
237,10
238,4
239,7
240,0
241,3
242,0
243,4
244,2
245,0
246,2
247,9
248,10
249,5
250,9
251,3
252,2
253,5
254,9
255,0
256,7
257,9
258,4
259,0
260,8
261,8
262,4
263,0
264,4
265,9
266,1
267,3
268,0
269,9
270,4
271,3
272,5
273,4
274,0
275,0
276,9
277,4
278,9
279,0
280,9
281,9
282,2
283,8
284,10
285,0
286,2
287,4
288,1
289,10
290,9
291,2
292,4
293,4
294,4
295,0
296,7
297,0
298,5
299,5
300,2
301,9
302,6
303,1
304,0
305,10
306,8
307,3
308,9
309,3
310,0
311,0
312,4
313,8
314,8
315,3
316,7
317,7
318,7
319,9
320,3
321,2
322,5
323,0
324,4
325,3
326,5
327,6
328,10
329,4
330,9
331,0
332,7
333,9
334,4
335,6
336,3
337,1
338,5
339,10
340,9
341,6
342,5
343,3
344,0
345,7
346,4
347,6
348,4
349,9
350,4
351,3
352,6
353,0
354,7
355,5
356,4
357,10
358,8
359,4
360,4
361,5
362,10
363,2
364,1
365,5
366,4
367,3
368,0
369,0
370,9
371,7
372,5
373,4
374,6
375,3
376,9
377,9
378,9
379,5
380,10
381,6
382,3
383,4
384,4
385,0
386,4
387,10
388,10
389,1
390,0
391,7
392,10
393,8
394,5
395,2
396,8
397,8
398,4
399,9
400,9
401,2
402,9
403,2
404,6
405,3
406,5
407,8
408,5
409,4
410,9
411,7
412,3
413,7
414,3
415,7
416,8
417,4
418,2
419,4
420,5
421,4
422,4
423,8
424,3
425,8
426,6
427,6
428,9
429,9
430,5
431,5
432,6
433,5
434,3
435,2
436,8
437,10
438,1
439,9
440,10
441,4
442,9
443,1
444,2
445,3
446,0
447,10
448,0
449,9
450,4
451,9
452,3
453,2
454,6
455,6
456,0
457,4
458,8
459,7
460,10
461,9
462,10
463,4
464,1
465,9
466,7
467,7
468,9
469,5
470,5
471,4
472,8
473,8
474,9
475,0
476,6
477,2
478,0
479,7
480,8
481,4
482,3
483,1
484,10
485,0
486,9
487,9
488,5
489,9
490,3
491,6
492,7
493,2
494,5
495,2
496,8
497,10
498,5
499,10
500,6
501,1
502,5
503,9
504,4
